Source,Target,X_Coord_Source,Y_Coord_Source,Z_Coord_Source,X_Coord_Target,Y_Coord_Target,Z_Coord_Target,DistanceKM,BookID,LocationSentence
L'Abric,L'Abric,4.311144,45.06056,997,4.311144,45.06056,997,0,Bohny_50.030.0031_Plateau_Rescuer,23
L'Abric,L'Abric,4.311144,45.06056,997,4.311144,45.06056,997,0,Bohny_50.030.0031_Plateau_Rescuer,23
L'Abric,L'Abric,4.311144,45.06056,997,4.311144,45.06056,997,0,Bohny_50.030.0031_Plateau_Rescuer,23
L'Abric,L'Abric,4.311144,45.06056,997,4.311144,45.06056,997,0,Bohny_50.030.0031_Plateau_Rescuer,23
L'Abric,L'Abric,4.311144,45.06056,997,4.311144,45.06056,997,0,Bohny_50.030.0031_Plateau_Rescuer,23
L'Abric,Le Chambon-sur-Lignon,4.311144,45.06056,997,4.302941,45.06081,961,0.644891539,Bohny_50.030.0031_Plateau_Rescuer,23
Le Chambon-sur-Lignon,Plateau Vivarais,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,31
Plateau Vivarais,Le Chambon-sur-Lignon,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,31
Le Chambon-sur-Lignon,Plateau Vivarais,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,31
Plateau Vivarais,Le Chambon-sur-Lignon,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,31
Le Chambon-sur-Lignon,Plateau Vivarais,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,31
Plateau Vivarais,Le Chambon-sur-Lignon,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,31
Le Chambon-sur-Lignon,Plateau Vivarais,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,31
Plateau Vivarais,Le Chambon-sur-Lignon,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,31
Le Chambon-sur-Lignon,Plateau Vivarais,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,31
Plateau Vivarais,Le Chambon-sur-Lignon,4.302941,45.06081,961,4.302941,45.06081,961,0,Bohny_50.030.0031_Plateau_Rescuer,31
