id;Class;Level;Area (km²)
456;Agricultural;Refinement3_Edited;0.01839722452
457;Agricultural;Refinement3_Edited;8.784985844e-05
458;Buildings/Urban;Refinement3_Edited;0.002885318788
459;Buildings/Urban;Refinement3_Edited;0.00141749407
460;Agricultural;Refinement3_Edited;0.0008684324548
461;Forest/Scrub;Refinement3_Edited;0.001250030277
462;Forest/Scrub;Refinement3_Edited;0.003105858537
463;Forest/Scrub;Refinement3_Edited;0.01215622416
464;Forest/Scrub;Refinement3_Edited;0.001901583394
465;Forest/Scrub;Refinement3_Edited;0.00368145813
466;Forest/Scrub;Refinement3_Edited;0.001636203613
467;Forest/Scrub;Refinement3_Edited;0.00128480418
468;Buildings/Urban;Refinement3_Edited;0.001123746106
469;Forest/Scrub;Refinement3_Edited;0.0009077818706
470;Agricultural;Refinement3_Edited;0.0003184557369
471;Forest/Scrub;Refinement3_Edited;0.0001180482473
472;Forest/Scrub;Refinement3_Edited;0.01147447266
473;Forest/Scrub;Refinement3_Edited;0.02674113087
474;Forest/Scrub;Refinement3_Edited;0.0007046290729
475;Buildings/Urban;Refinement3_Edited;0.001128321619
476;Agricultural;Refinement3_Edited;0.01312989343
477;Agricultural;Refinement3_Edited;0.009172074283
478;Agricultural;Refinement3_Edited;0.004436417851
479;Forest/Scrub;Refinement3_Edited;0.0003770223091
480;Agricultural;Refinement3_Edited;0.006753457868
481;Agricultural;Refinement3_Edited;0.0002507381376
482;Forest/Scrub;Refinement3_Edited;0.0001162180419
483;Agricultural;Refinement3_Edited;0.01215439396
484;Forest/Scrub;Refinement3_Edited;4.941554537e-05
485;Forest/Scrub;Refinement3_Edited;0.0001098123231
486;Agricultural;Refinement3_Edited;0.0002534834457
487;Forest/Scrub;Refinement3_Edited;0.0001875960519
488;Forest/Scrub;Refinement3_Edited;8.327434498e-05
489;Agricultural;Refinement3_Edited;0.0001418409173
490;Forest/Scrub;Refinement3_Edited;0.01800556057
491;Forest/Scrub;Refinement3_Edited;0.000157397663
492;Forest/Scrub;Refinement3_Edited;0.03492306404
493;Forest/Scrub;Refinement3_Edited;0.01016862111
494;Agricultural;Refinement3_Edited;0.006375520456
495;Forest/Scrub;Refinement3_Edited;0.0001628882792
496;Agricultural;Refinement3_Edited;0.01899844699
497;Agricultural;Refinement3_Edited;0.0005966469552
498;Forest/Scrub;Refinement3_Edited;0.001201529835
499;Agricultural;Refinement3_Edited;0.002249322417
500;Agricultural;Refinement3_Edited;0.005443030813
501;Agricultural;Refinement3_Edited;0.00170300611
502;Agricultural;Refinement3_Edited;0.006973997616
503;Buildings/Urban;Refinement3_Edited;0.0003761072065
504;Forest/Scrub;Refinement3_Edited;0.0002443324188
